Fscl-yr_Ex-fin,Project-nbr_No-de-projet,On-time_Respect-des-delais,On-budget_Respect-du-budget,On-scope_Respect-de-la-portee,Overall-project-health_Sante-globale-du-projet
2021-2022,2021-2022-00702,1,1,1,1
2021-2022,2021-2022-00705,2,2,1,2
2021-2022,2021-2022-00706,1,1,1,1
2021-2022,2021-2022-00707,1,1,1,1
2021-2022,2021-2022-00711,1,1,1,1
2021-2022,2021-2022-00712,1,1,1,1
2021-2022,2021-2022-00713,1,1,1,1
2021-2022,2021-2022-00714,1,1,1,1
2021-2022,2021-2022-00716,1,1,1,1
2021-2022,2021-2022-00717,2,1,1,2
2021-2022,2021-2022-00719,1,1,1,1
2021-2022,2021-2022-00725,1,1,1,1
2021-2022,2021-2022-00727,1,1,1,1
2021-2022,2021-2022-00734,1,1,1,1
2021-2022,2021-2022-00740,1,1,1,1
2021-2022,2021-2022-00741,1,1,1,1
2021-2022,2021-2022-00742,1,1,1,1
2021-2022,2021-2022-00757,1,1,1,1
2021-2022,2021-2022-00758,2,2,1,2
2021-2022,2021-2022-00760,1,1,1,1
2021-2022,2021-2022-00762,1,1,1,1
2021-2022,2021-2022-00763,1,1,1,1
2021-2022,2021-2022-00764,1,1,1,1
2021-2022,2021-2022-00772,1,1,1,1
2021-2022,2021-2022-00777,1,1,1,1
2021-2022,2021-2022-00779,1,1,1,1
2021-2022,2021-2022-00788,1,1,1,1
2021-2022,2021-2022-00792,1,1,1,1
2021-2022,2021-2022-00794,1,1,1,1
2021-2022,2021-2022-00807,1,1,1,1
2021-2022,2021-2022-00809,1,1,1,1
2021-2022,2021-2022-00810,1,1,1,1
2021-2022,2021-2022-00811,1,1,1,1
2021-2022,2021-2022-00812,1,1,1,1
2021-2022,2021-2022-00813,1,1,1,1
2021-2022,2021-2022-00814,1,1,1,1
2021-2022,2021-2022-00815,1,1,1,1
2021-2022,2021-2022-00820,1,1,1,1
2021-2022,2021-2022-00821,2,1,2,2
2021-2022,2021-2022-00822,1,1,1,1
2021-2022,2021-2022-00825,1,1,1,1
2021-2022,2021-2022-00826,1,1,1,1
2021-2022,2021-2022-00828,1,1,1,1
2021-2022,2021-2022-00830,1,1,1,1
2021-2022,2021-2022-00831,1,1,0,1
2021-2022,2021-2022-00834,1,1,1,1
2021-2022,2021-2022-00837,1,1,1,1
2021-2022,2021-2022-00839,1,1,1,1
2021-2022,2021-2022-00843,2,1,1,2
2021-2022,2021-2022-00847,1,1,1,1
2021-2022,2021-2022-00848,1,1,1,1
2021-2022,2021-2022-00851,2,1,1,2
2021-2022,2021-2022-00853,1,1,1,1
2021-2022,2021-2022-00857,1,1,1,1
2021-2022,2021-2022-00864,1,1,1,1
2021-2022,2021-2022-00865,1,1,1,1
2021-2022,2021-2022-00867,1,1,1,1
2021-2022,2021-2022-00870,1,1,0,1
2021-2022,2021-2022-00873,0,0,1,1
2021-2022,2021-2022-00874,1,1,1,1
2021-2022,2021-2022-00877,1,1,1,1
2021-2022,2021-2022-00879,1,1,1,1
2021-2022,2021-2022-00883,1,1,1,1
2021-2022,2021-2022-00884,1,0,0,1
2021-2022,2021-2022-00886,1,1,1,1
2021-2022,2021-2022-00887,2,1,1,2
2021-2022,2021-2022-00888,1,1,1,1
2021-2022,2021-2022-00890,1,1,1,1
2021-2022,2021-2022-00891,1,1,1,1
2021-2022,2021-2022-00892,1,1,1,1
2021-2022,2021-2022-00895,1,1,1,1
2021-2022,2021-2022-00898,1,1,1,1
2021-2022,2021-2022-00899,1,1,1,1
2021-2022,2021-2022-00900,1,1,1,1
2021-2022,2021-2022-00901,1,1,1,1
2021-2022,2021-2022-00902,1,1,1,1
2021-2022,2021-2022-00903,1,1,1,1
2021-2022,2021-2022-00904,1,1,1,1
2021-2022,2021-2022-00906,1,1,1,1
2021-2022,2021-2022-00907,1,1,1,1
2021-2022,2021-2022-00909,1,1,1,1
2021-2022,2021-2022-00913,1,1,1,1
2021-2022,2021-2022-00914,1,1,1,1
2021-2022,2021-2022-00915,1,1,1,1
2021-2022,2021-2022-00922,1,3,1,3
2021-2022,2021-2022-00927,1,1,1,1
2021-2022,2021-2022-00928,2,1,1,2
2021-2022,2021-2022-00929,3,1,1,3
2021-2022,2021-2022-00930,1,1,1,1
2021-2022,2021-2022-00931,1,1,1,1
2021-2022,2021-2022-00932,1,1,1,1
2021-2022,2021-2022-00933,1,1,1,1
2021-2022,2021-2022-00936,1,1,1,1
2021-2022,2021-2022-00937,1,1,1,1
2021-2022,2021-2022-00938,1,1,1,1
2021-2022,2021-2022-00939,1,1,1,1
2021-2022,2021-2022-00944,1,1,1,1
2021-2022,2021-2022-00945,1,1,1,1
2021-2022,2021-2022-00946,1,1,2,2
2021-2022,2021-2022-00947,2,1,1,2
2021-2022,2021-2022-00948,1,1,1,1
2021-2022,2021-2022-00949,1,1,1,1
2021-2022,2021-2022-00950,1,1,1,1
2021-2022,2021-2022-00951,3,2,2,3
2021-2022,2021-2022-00952,1,1,1,1
2021-2022,2021-2022-00953,1,1,1,1
2021-2022,2021-2022-00955,1,2,1,2
2021-2022,2021-2022-00956,1,1,1,1
2021-2022,2021-2022-00959,2,1,2,2
2021-2022,2021-2022-00960,1,1,1,1
2021-2022,2021-2022-00963,1,1,1,1
2021-2022,2021-2022-00965,3,1,1,3
2021-2022,2021-2022-00966,1,1,1,1
2021-2022,2021-2022-00967,1,1,1,1
2021-2022,2021-2022-00969,1,1,1,1
2021-2022,2021-2022-00971,1,1,1,1
2021-2022,2021-2022-00972,2,1,1,2
2021-2022,2021-2022-00974,1,1,1,1
2021-2022,2021-2022-00975,1,1,1,1
2021-2022,2021-2022-00977,1,1,1,1
2021-2022,2021-2022-00979,1,1,1,1
2021-2022,2021-2022-00980,1,1,1,1
2021-2022,2021-2022-00981,1,1,1,1
2021-2022,2021-2022-00983,1,1,1,1
2021-2022,2021-2022-00985,1,1,1,1
2021-2022,2021-2022-00986,1,1,1,1
2021-2022,2021-2022-00987,1,1,1,1
2021-2022,2021-2022-00989,1,1,1,1
2021-2022,2021-2022-00992,1,1,1,1
2021-2022,2021-2022-00993,1,1,1,1
2021-2022,2021-2022-00997,1,1,1,1
2021-2022,2021-2022-00999,1,1,1,1
